"","recipient_country_code","total_entries","total_spent","geolocation_entries","exactness_entries","geolocation_percentage","exactness_percentage"
"34","NG",85910,520258991557.819,80861,11056,0.941229193341869,0.128692818065417
"35","CM",26687,30968135022.7845,23152,6626,0.867538501892307,0.248285682167347
"36","TL",11842,21080775083.4162,11452,10934,0.967066373923324,0.923323762877892
"37","UG",44475,147227341658.648,37439,16299,0.841798763350197,0.366475548060708
"38","BE",1067,789759428.269019,991,84,0.928772258669166,0.0787253983130272
"39","CD",25381,145941921504.726,23161,10545,0.912532997123833,0.415468263661794
"40","BI",22584,25625697175.624,21518,4465,0.952798441374424,0.197706340772228
"41","PE",57590,77601078059.3122,41053,43255,0.71284945303004,0.751085257857267
"42","BO",45390,51632501940.919,43885,20528,0.966842916942058,0.452258206653448
"43","ID",47294,421060971734.873,39632,14319,0.837992134308792,0.302765678521588
"44","PH",87662,248613574260.013,79878,15531,0.911204398713239,0.177169126873674
"45","BF",23449,31135855738.5004,20968,6575,0.894195914537933,0.280395752484114
"46","ML",30220,35322641039.4472,27191,8832,0.899768365320979,0.292256783587028
"47",NA,4124467,2057542967021.76,4090286,2483,0.991712626140541,0.000602017181856468
"48","KE",46775,120335120812.808,36572,16372,0.781870657402459,0.350016034206307
"49","HT",36028,30609569703.4852,30573,22651,0.848589985566781,0.628705451315643
"50","SV",27811,57924045707.4376,17556,12270,0.631261011829852,0.441192333968574
"51","AF",33391,153923576911.986,21594,16954,0.646701206912042,0.507741607019856
"52","AM",37537,53027722590.0958,35090,5899,0.934810986493327,0.157151610411061
"53","AZ",26900,78420465417.9146,26146,2373,0.971970260223048,0.0882156133828996
"54","BD",50860,441939594413.715,48255,10051,0.948780967361384,0.197620920173024
"55","BJ",23905,18798882666.6343,20273,6719,0.84806525831416,0.28107090566827
"56","BR",39139,355553514542.457,37733,12089,0.964076752088709,0.308873502133422
"57","CF",13515,6032602640.09284,12759,5542,0.944062153163152,0.410062893081761
"58","CG",8411,6889039406.18755,8160,1224,0.970158126263227,0.145523718939484
"59","CI",16278,32918691780.0008,14006,3443,0.860425113650326,0.211512470819511
"60","CN",53739,690765338163.542,51744,8178,0.962876123485737,0.152179981019371
"61","CV",3624,3131210592.88783,3375,1027,0.931291390728477,0.283388520971302
"62","DO",22816,51586844168.6898,17028,14556,0.746318373071529,0.637973352033661
"63","DZ",2142,5828069549.43628,1405,1570,0.655929038281979,0.732959850606909
"64","ET",41954,228571645665.548,36203,10165,0.862921294751394,0.242289173857082
"65","GA",2754,6422318955.07234,2366,637,0.859114015976761,0.231299927378359
"66","GH",32866,100281990117.685,29844,9639,0.908050873242865,0.293281810990081
"67","CU",4164,572812403.782946,3408,2958,0.818443804034582,0.710374639769452
"68","GN",13474,10436178523.416,11463,4978,0.850749591806442,0.369452278462224
"69","IN",88506,1410705214215.29,84170,13583,0.951008971143199,0.153469821255056
"70","IQ",20052,103363470378.347,16323,11037,0.814033512866547,0.550418910831837
"71","JO",9649,21477544855.7032,6446,5465,0.668048502435486,0.566379935744637
"72","KM",2982,924811627.243929,2808,1456,0.941649899396378,0.488262910798122
"73","LA",12338,11364636974.0515,11579,2715,0.938482736261955,0.220051872264549
"74","LR",15446,10987488307.6807,10816,6678,0.700246018386637,0.432344943674738
"75","MA",20252,62218314303.1496,16316,5443,0.805648824807426,0.268763578905787
"76","MX",35418,367979928146.274,15464,28662,0.436614150996668,0.809249534135186
"77","MZ",28948,54988679704.3043,24418,7081,0.843512505181705,0.244611026668509
"78","NE",26654,24046135140.5997,23009,10699,0.863247542582727,0.401403166504089
"79","PS",6542,2986938245.11743,5303,1862,0.810608376643228,0.284622439620911
"80","SD",11347,6945638912.57316,11062,6844,0.974883229047325,0.603155018947739
"81","SR",2459,1454706225.55296,2227,1737,0.905652704351362,0.706384709231395
"82","ST",1707,254720900.693199,1690,1004,0.9900410076157,0.588166373755126
"83","TD",13742,19252988682.3497,13245,3123,0.963833503129093,0.227259496434289
"84","TG",5897,10195586019.7004,4422,3156,0.749872816686451,0.535187383415296
"85","TN",16907,38851911867.3546,12937,8612,0.765186017625835,0.509374815165316
"86","TR",23866,424769859853.349,23102,4869,0.967987932623816,0.204014078605548
"87","UZ",7984,22091238062.0519,7405,1557,0.92747995991984,0.19501503006012
"88","VN",102122,469501495726.812,99167,6332,0.971064021464523,0.0620042694032628
"89","ZA",9680,40813576705.6649,2738,6933,0.282851239669421,0.716219008264463
"90","ZM",20921,28061875044.9318,14824,9976,0.708570336026003,0.476841451173462
"91","ZZ",406,372643659.984452,406,0,1,0
"92","AO",12691,18165242183.0422,12223,2345,0.963123473327555,0.184776613348042
"93","BW",5254,2960152834.16122,954,4237,0.181575942139322,0.806433193757137
"94","GQ",1244,416846314.675064,1104,439,0.887459807073955,0.352893890675241
"95","ZRCD",1,1056851.273145,1,1,1,1
"96","GM",9263,3569634110.2754,7561,3244,0.816258231674404,0.350210514951959
"97","LS",7542,4505734141.00607,5347,3216,0.708963139750729,0.426412092283214
"98","MW",22387,37485564866.6955,18265,7868,0.815875284763479,0.351453968821191
"99","NA",5193,2776284144.58944,2666,3885,0.513383400731754,0.748122472559214
"100","SO",10635,11568627002.0905,9455,6492,0.889045604137283,0.610437235543018
"101","SS",20271,21936239628.8795,13552,7468,0.668541265847763,0.36840807064279
"102","SZ",4486,1020874480.53696,2230,2637,0.497102095407936,0.58782880071333
"103","SK",104,440596704.01572,89,18,0.855769230769231,0.173076923076923
"104","BY",6524,12064924850.7629,5996,976,0.919068056407112,0.149601471489884
"105","UA",20658,37033679537.9515,13748,10315,0.665504889147062,0.499322296446897
"106","BA",11440,17420479609.3307,9361,3686,0.818269230769231,0.322202797202797
"107","RO",10450,79903416299.1107,10199,743,0.975980861244019,0.0711004784688995
"108","KG",10734,8205722909.03419,8522,3458,0.793925843115334,0.322153903484256
"109","RU",7085,42006031158.6952,6509,825,0.918701482004234,0.116443189837685
"110","VC",669,209931762.999887,253,514,0.378176382660688,0.76831091180867
"111","PL",825,67517235585.656,790,377,0.957575757575758,0.456969696969697
"112","KZ",6532,38693449160.6804,4670,2472,0.714941824862217,0.378444580526638
"113","HR",9068,46372523093.9139,8551,1089,0.942986325540362,0.120092633436259
"114","VE",6576,12174937855.3653,6396,5935,0.972627737226277,0.902524330900243
"115","TJ",10478,6169095803.58171,8592,3221,0.820003817522428,0.307405993510212
"116","GD",484,438353538.172019,465,280,0.960743801652893,0.578512396694215
"117","YE",9671,52551421300.6505,8869,4479,0.91707165753283,0.463137214352187
